timestamp,smoke,voc,co,flame,temp,hum,label,scenario,filename,humid
3296431,98,507,234,1,22.46,56.22,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3296531,96,507,236,1,22.47,56.23,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3296631,98,507,235,2,22.45,56.22,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3296731,97,507,235,0,22.46,56.18,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3296831,95,507,233,0,22.46,56.2,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3296931,97,507,235,0,22.45,56.21,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3297031,98,507,235,2,22.45,56.24,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3297131,97,507,235,1,22.44,56.23,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3297231,95,507,234,2,22.44,56.24,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3297331,97,507,235,0,22.45,56.19,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3297431,96,507,235,0,22.45,56.24,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3297531,97,508,236,1,22.44,56.25,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3297631,97,507,235,0,22.43,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3297731,98,508,236,2,22.45,56.23,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3297831,95,507,236,0,22.44,56.21,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3297931,98,507,234,2,22.44,56.25,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3298031,98,507,234,0,22.46,56.24,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3298131,95,507,234,1,22.44,56.25,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3298231,97,507,236,1,22.44,56.21,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3298331,97,507,235,0,22.45,56.23,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3298431,98,507,235,0,22.44,56.24,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3298531,98,507,235,2,22.45,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3298631,98,507,235,2,22.44,56.25,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3298731,96,507,234,3,22.43,56.24,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3298831,96,507,237,5,22.43,56.25,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3298931,97,507,235,0,22.44,56.27,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3299031,96,507,234,0,22.44,56.24,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3299131,97,508,235,0,22.43,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3299231,96,507,234,2,22.44,56.25,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3299331,95,507,234,2,22.42,56.24,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
